,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
18373,2020-10-23,17,Illinois,292,303.57142857142856,5000,4140.428571428572,2.8439439189851496,0.2433832829473424
18374,2020-10-24,17,Illinois,276,280.0,6161,4502.142857142857,2.9398971317431477,0.24793806734687934
18375,2020-10-25,17,Illinois,298,281.0,4057,4475.285714285715,3.0539377310804596,0.2507682960850281
18376,2020-10-26,17,Illinois,353,293.14285714285717,4729,4706.142857142857,3.0648755968874597,0.2539202336518542
18377,2020-10-27,17,Illinois,351,302.7142857142857,4000,4747.142857142857,3.146173808513104,0.2598092221975123
18378,2020-10-28,17,Illinois,376,319.14285714285717,6110,4999.714285714285,3.216145753876461,0.26809660915705397
18379,2020-10-29,17,Illinois,361,329.57142857142856,6362,5202.714285714285,3.287058480477077,0.2746419381148095
18380,2020-10-30,17,Illinois,346,337.2857142857143,8489,5701.142857142857,3.3822564210432176,0.2762425428198716
18381,2020-10-31,17,Illinois,333,345.42857142857144,7899,5949.428571428572,3.448813472768471,0.28203836762076945
18382,2020-11-01,17,Illinois,344,352.0,6980,6367.0,3.4860509648059863,0.2906937925953589
18383,2020-11-02,17,Illinois,480,370.14285714285717,6222,6580.285714285715,3.5611074100998223,0.3030448217990683
18384,2020-11-03,17,Illinois,463,386.14285714285717,6516,6939.714285714285,3.69445899542367,0.30849089798306156
18385,2020-11-04,17,Illinois,476,400.42857142857144,7538,7143.714285714285,3.7929963518829335,0.3142927496119535
18386,2020-11-05,17,Illinois,519,423.0,9935,7654.142857142857,3.982644724873776,0.32018100360426643
18387,2020-11-06,17,Illinois,552,452.42857142857144,11802,8127.428571428572,4.131956454671935,0.3304584825709391
18388,2020-11-07,17,Illinois,501,476.42857142857144,12438,8775.857142857143,4.320512559917807,0.34198682294841903
18389,2020-11-08,17,Illinois,530,503.0,10009,9208.57142857143,4.4476233358675525,0.34716393941780965
18390,2020-11-09,17,Illinois,655,528.0,10573,9830.142857142857,4.67901759187798,0.35203485071489254
18391,2020-11-10,17,Illinois,688,560.1428571428571,12623,10702.57142857143,4.784076027976543,0.3659406650774602
18392,2020-11-11,17,Illinois,641,583.7142857142857,12657,11433.857142857143,5.005124304095201,0.3771468044024594
18393,2020-11-12,17,Illinois,612,597.0,12702,11829.142857142857,5.164465344537466,0.38679020946627796
18394,2020-11-13,17,Illinois,609,605.1428571428571,15415,12345.285714285714,5.413283805871181,0.3956368957094847
18395,2020-11-14,17,Illinois,599,619.1428571428571,11028,12143.857142857143,5.6689065983244955,0.404628799067962
18396,2020-11-15,17,Illinois,587,627.2857142857143,10631,12232.714285714286,5.765256601247614,0.41634849533882295
18397,2020-11-16,17,Illinois,680,630.8571428571429,11632,12384.0,5.902165789672385,0.42534415912008816
18398,2020-11-17,17,Illinois,672,628.5714285714286,12601,12380.857142857143,6.0826362120203115,0.43207415947393907
18399,2020-11-18,17,Illinois,682,634.4285714285714,8922,11847.285714285714,6.2226157595578915,0.43793644178941765
