date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
2021-02-03,19,Iowa,52,52.642857142857146,1034,965.7857142857143,4.395890385477728,0.2834001870367791
2021-02-04,19,Iowa,47,51.357142857142854,908,912.5714285714286,4.2343657513919375,0.27537964212301674
2021-02-05,19,Iowa,66,52.57142857142857,581,864.4285714285714,4.046857170012859,0.26957061946510485
2021-02-06,19,Iowa,33,52.214285714285715,509,834.5714285714286,3.895937702516328,0.26301887192881723
2021-02-07,19,Iowa,38,51.5,284,818.0714285714286,3.811427674831038,0.258336047694162
2021-02-08,19,Iowa,48,49.57142857142857,629,807.8571428571429,3.7170809725526226,0.2510948121624854
2021-02-09,19,Iowa,30,48.142857142857146,931,796.2857142857143,3.6151763183346204,0.24386118852251085
2021-02-10,19,Iowa,41,46.92857142857143,911,781.9285714285714,3.4683896748636434,0.23672810248352352
2021-02-11,19,Iowa,36,46.07142857142857,371,736.2857142857143,3.342711073943357,0.23089908325662536
2021-02-12,19,Iowa,52,45.92857142857143,1133,731.8571428571429,3.2153356522309804,0.22403050371102606
2021-02-13,19,Iowa,35,45.42857142857143,474,709.2142857142857,3.098133479139046,0.2175264028931213
2021-02-14,19,Iowa,39,44.785714285714285,219,703.5714285714286,3.0186895797927247,0.20894818293560413
2021-02-15,19,Iowa,43,43.785714285714285,468,681.3571428571429,2.9368985419230076,0.2004802290933837
2021-02-16,19,Iowa,50,43.57142857142857,592,646.0,2.8478195981488295,0.19408588475256522
2021-02-17,19,Iowa,45,43.07142857142857,588,614.1428571428571,2.741587262697929,0.18629462259254312
2021-02-18,19,Iowa,34,42.142857142857146,599,592.0714285714286,2.6403439831769537,0.18097843889015522
2021-02-19,19,Iowa,37,40.07142857142857,242,567.8571428571429,2.5314180880639703,0.17608278457349108
2021-02-20,19,Iowa,22,39.285714285714285,435,562.5714285714286,2.44908184551845,0.1750855241256789
2021-02-21,19,Iowa,31,38.785714285714285,578,583.5714285714286,2.3558013536949383,0.17239055544064003
2021-02-22,19,Iowa,52,39.07142857142857,320,561.5,2.305475849055805,0.1668505496131364
2021-02-23,19,Iowa,44,40.07142857142857,884,558.1428571428571,2.2538524805102593,0.16352806735559292
2021-02-24,19,Iowa,26,39.0,701,543.1428571428571,2.200183906474655,0.16043177638336292
2021-02-25,19,Iowa,35,38.92857142857143,579,558.0,2.1408392990102647,0.15631981210925772
2021-02-26,19,Iowa,39,38.0,611,520.7142857142857,2.0795375915895122,0.15303526222176525
2021-02-27,19,Iowa,31,37.714285714285715,427,517.3571428571429,2.0372202906852097,0.15014238447406375
2021-02-28,19,Iowa,34,37.357142857142854,183,514.7857142857143,1.9968289297884736,0.14923044719693057
2021-03-01,19,Iowa,28,36.285714285714285,425,511.7142857142857,1.9717116154098662,0.1464994581224226
2021-03-02,19,Iowa,30,34.857142857142854,630,514.4285714285714,1.9415734696096467,0.14288245966785834
2021-03-03,19,Iowa,34,34.07142857142857,521,509.64285714285717,1.9192585177107273,0.14032291907041655
2021-03-04,19,Iowa,33,34.0,572,507.7142857142857,1.8876426460780455,0.13792349395062073
2021-03-05,19,Iowa,31,33.57142857142857,535,528.6428571428571,1.859078475803644,0.1345223183898209
2021-03-06,19,Iowa,29,34.07142857142857,381,524.7857142857143,1.8369410196147051,0.13035748054224433
2021-03-07,19,Iowa,27,33.785714285714285,143,493.7142857142857,1.7994437447566298,0.1261625422550518
2021-03-08,19,Iowa,31,32.285714285714285,456,503.42857142857144,1.7694165677241913,0.12365854713185898
2021-03-09,19,Iowa,28,31.142857142857142,763,494.7857142857143,1.751559428886475,0.12081558615600328
2021-03-10,19,Iowa,41,32.214285714285715,487,479.5,1.7170612658992224,0.1174815939149254
2021-03-11,19,Iowa,39,32.5,460,471.0,1.7151133429528076,0.11601000342772194
2021-03-12,19,Iowa,30,31.857142857142858,505,463.42857142857144,1.692920689468131,0.11389183941434937
2021-03-13,19,Iowa,25,31.428571428571427,362,458.7857142857143,1.6660635762042224,0.11258078857001015
2021-03-14,19,Iowa,33,31.357142857142858,181,458.64285714285717,1.6292551594919982,0.11140527913553622
2021-03-15,19,Iowa,35,31.857142857142858,417,458.07142857142856,1.627563783579001,0.11224812075173451
2021-03-16,19,Iowa,26,31.571428571428573,548,452.2142857142857,1.6344387638569748,0.11134462239176073
2021-03-17,19,Iowa,44,32.285714285714285,416,444.7142857142857,1.6353157593578058,0.11103239720960961
2021-03-18,19,Iowa,27,31.857142857142858,593,446.2142857142857,1.63144493516617,0.10947358751273156
2021-03-19,19,Iowa,39,32.42857142857143,444,439.7142857142857,1.618663874743122,0.10976684577571631
2021-03-20,19,Iowa,23,32.0,338,436.64285714285717,1.603786743893653,0.10901279196352516
2021-03-21,19,Iowa,27,32.0,143,436.64285714285717,1.600010025015216,0.10917821455473173
2021-03-22,19,Iowa,34,32.214285714285715,432,434.92857142857144,1.6088928388744468,0.10820407947781312
2021-03-23,19,Iowa,45,33.42857142857143,767,435.2142857142857,1.596443534981541,0.10783045535620744
2021-03-24,19,Iowa,38,33.214285714285715,608,443.85714285714283,1.6053597452761466,0.10781886503408265
2021-03-25,19,Iowa,33,32.785714285714285,906,475.7142857142857,1.560509954753649,0.10810348846043366
2021-03-26,19,Iowa,35,33.142857142857146,559,479.57142857142856,1.5615217332064335,0.1078912387897168
2021-03-27,19,Iowa,38,34.07142857142857,497,489.2142857142857,1.56009367124187,0.10787616928673754
2021-03-28,19,Iowa,28,33.714285714285715,160,487.7142857142857,1.5676533175367,0.10770492789262225
2021-03-29,19,Iowa,39,34.0,505,494.0,1.5863074244998,0.10645479338274924
2021-03-30,19,Iowa,35,34.642857142857146,537,493.2142857142857,1.5891402729451964,0.10693576392732147
2021-03-31,19,Iowa,40,34.357142857142854,646,509.64285714285717,1.5814379964882432,0.10760704058803956
2021-04-01,19,Iowa,32,34.714285714285715,735,519.7857142857143,1.5977978204696095,0.10849248779871651
2021-04-02,19,Iowa,32,34.214285714285715,577,529.2857142857143,1.6208288481157782,0.10809557618121303
2021-04-03,19,Iowa,30,34.714285714285715,493,540.3571428571429,1.6398854146003878,0.10868388901273242
2021-04-04,19,Iowa,27,34.714285714285715,155,541.2142857142857,1.6290701829066363,0.11005020027067065
2021-04-05,19,Iowa,53,36.07142857142857,467,543.7142857142857,1.6494902632059962,0.11148879048054457
2021-04-06,19,Iowa,38,35.57142857142857,728,540.9285714285714,1.6611224617601479,0.111971771143104
2021-04-07,19,Iowa,54,36.714285714285715,272,516.9285714285714,1.6818345775507635,0.11276811455911309
2021-04-08,19,Iowa,47,37.714285714285715,625,496.85714285714283,1.69903328703472,0.11380620637846485
2021-04-09,19,Iowa,38,37.92857142857143,619,501.14285714285717,1.715388306117198,0.1149035848655369
2021-04-10,19,Iowa,29,37.285714285714285,750,519.2142857142857,1.7233034234982796,0.11534272579929773
2021-04-11,19,Iowa,31,37.5,196,521.7857142857143,1.7231359048219466,0.11670324712992113
2021-04-12,19,Iowa,46,38.0,178,498.42857142857144,1.7268143131306348,0.11752844568509387
2021-04-13,19,Iowa,37,38.142857142857146,542,498.7857142857143,1.7525230842735167,0.11853187427707085
2021-04-14,19,Iowa,42,38.285714285714285,656,499.5,1.768460435605888,0.11882002583258311
2021-04-15,19,Iowa,57,40.07142857142857,478,481.14285714285717,1.7714881254277495,0.1194016364816428
