key,level
HTI6,gadm1
HTI7,gadm1
HTI8,gadm1
HTI9,gadm1
HTI10,gadm1
HND1,gadm1
HND2,gadm1
HND3,gadm1
HND4,gadm1
HND5,gadm1
HND6,gadm1
HND7,gadm1
HND8,gadm1
HND9,gadm1
HND10,gadm1
HND11,gadm1
HND12,gadm1
HND13,gadm1
HND14,gadm1
HND15,gadm1
HND16,gadm1
HND17,gadm1
HND18,gadm1
HKG1,gadm1
HKG2,gadm1
HKG3,gadm1
HKG4,gadm1
HKG5,gadm1
HKG6,gadm1
HKG7,gadm1
HKG8,gadm1
HKG9,gadm1
HKG10,gadm1
HKG11,gadm1
HKG12,gadm1
HKG13,gadm1
HKG14,gadm1
HKG15,gadm1
HKG16,gadm1
HKG17,gadm1
HKG18,gadm1
IND1,gadm1
IND2,gadm1
IND3,gadm1
IND4,gadm1
IND5,gadm1
IND6,gadm1
IND7,gadm1
IND8,gadm1
IND9,gadm1
IND10,gadm1
IND11,gadm1
IND12,gadm1
IND13,gadm1
IND15,gadm1
IND16,gadm1
IND17,gadm1
IND18,gadm1
IND19,gadm1
IND20,gadm1
IND21,gadm1
IND22,gadm1
IND23,gadm1
IND24,gadm1
IND25,gadm1
IND26,gadm1
IND27,gadm1
IND28,gadm1
IND29,gadm1
IND30,gadm1
IND31,gadm1
IND32,gadm1
IND33,gadm1
IND34,gadm1
IND35,gadm1
IND36,gadm1
IDN1,gadm1
IDN2,gadm1
IDN3,gadm1
IDN4,gadm1
IDN5,gadm1
IDN6,gadm1
IDN7,gadm1
IDN8,gadm1
IDN9,gadm1
IDN10,gadm1
IDN11,gadm1
IDN12,gadm1
IDN13,gadm1
IDN14,gadm1
IDN15,gadm1
IDN16,gadm1
IDN17,gadm1
IDN18,gadm1
IDN19,gadm1
IDN20,gadm1
IDN21,gadm1
IDN22,gadm1
IDN23,gadm1
IDN24,gadm1
IDN25,gadm1
IDN26,gadm1
IDN27,gadm1
IDN28,gadm1
IDN29,gadm1
IDN30,gadm1
IDN31,gadm1
IDN32,gadm1
IDN33,gadm1
IDN34,gadm1
JAM1,gadm1
JAM2,gadm1
JAM3,gadm1
JAM4,gadm1
JAM5,gadm1
JAM6,gadm1
JAM7,gadm1
JAM8,gadm1
JAM9,gadm1
JAM10,gadm1
JAM11,gadm1
JAM12,gadm1
JAM13,gadm1
JAM14,gadm1
JPN1,gadm1
JPN2,gadm1
JPN3,gadm1
JPN4,gadm1
JPN5,gadm1
JPN6,gadm1
JPN7,gadm1
JPN8,gadm1
JPN9,gadm1
JPN10,gadm1
JPN11,gadm1
JPN12,gadm1
JPN13,gadm1
JPN14,gadm1
JPN15,gadm1
JPN16,gadm1
JPN17,gadm1
JPN18,gadm1
JPN19,gadm1
JPN20,gadm1
JPN21,gadm1
JPN22,gadm1
JPN23,gadm1
JPN24,gadm1
JPN25,gadm1
JPN26,gadm1
JPN27,gadm1
JPN28,gadm1
JPN29,gadm1
JPN30,gadm1
JPN31,gadm1
JPN32,gadm1
JPN33,gadm1
JPN34,gadm1
JPN35,gadm1
JPN36,gadm1
JPN37,gadm1
JPN38,gadm1
JPN39,gadm1
JPN40,gadm1
JPN41,gadm1
JPN42,gadm1
JPN43,gadm1
JPN44,gadm1
JPN45,gadm1
JPN46,gadm1
JPN47,gadm1
JOR1,gadm1
JOR2,gadm1
JOR3,gadm1
JOR4,gadm1
JOR5,gadm1
JOR6,gadm1
JOR7,gadm1
JOR8,gadm1
JOR9,gadm1
JOR10,gadm1
JOR11,gadm1
JOR12,gadm1
KAZ1,gadm1
KAZ2,gadm1
KAZ3,gadm1
KAZ4,gadm1
KAZ5,gadm1
KAZ6,gadm1
KAZ7,gadm1
KAZ8,gadm1
KAZ9,gadm1
KAZ10,gadm1
KAZ11,gadm1
KAZ12,gadm1
KAZ13,gadm1
KAZ14,gadm1
KEN1,gadm1
KEN2,gadm1
KEN3,gadm1
KEN4,gadm1
KEN5,gadm1
KEN6,gadm1
KEN7,gadm1
KEN8,gadm1
KEN9,gadm1
KEN10,gadm1
KEN11,gadm1
KEN12,gadm1
KEN13,gadm1
KEN14,gadm1
KEN15,gadm1
KEN16,gadm1
KEN17,gadm1
KEN18,gadm1
KEN19,gadm1
KEN20,gadm1
KEN21,gadm1
KEN22,gadm1
KEN23,gadm1
KEN24,gadm1
KEN25,gadm1
KEN26,gadm1
KEN27,gadm1
KEN28,gadm1
KEN29,gadm1
KEN30,gadm1
KEN31,gadm1
KEN32,gadm1
KEN33,gadm1
KEN34,gadm1
KEN35,gadm1
KEN36,gadm1
KEN37,gadm1
KEN38,gadm1
KEN39,gadm1
KEN40,gadm1
KEN41,gadm1
KEN42,gadm1
KEN43,gadm1
KEN44,gadm1
KEN45,gadm1
KEN46,gadm1
KEN47,gadm1
XKO1,gadm1
XKO2,gadm1
XKO3,gadm1
XKO4,gadm1
XKO5,gadm1
XKO6,gadm1
XKO7,gadm1
KWT1,gadm1
KWT2,gadm1
KWT3,gadm1
KWT4,gadm1
KWT5,gadm1
KWT6,gadm1
KGZ1,gadm1
KGZ2,gadm1
KGZ3,gadm1
KGZ4,gadm1
KGZ5,gadm1
KGZ6,gadm1
KGZ7,gadm1
KGZ8,gadm1
KGZ9,gadm1
LAO1,gadm1
LAO2,gadm1
LAO3,gadm1
LAO4,gadm1
LAO5,gadm1
LAO6,gadm1
LAO7,gadm1
LAO8,gadm1
LAO9,gadm1
LAO10,gadm1
LAO11,gadm1
LAO12,gadm1
LAO13,gadm1
LAO14,gadm1
LAO15,gadm1
LAO16,gadm1
LAO17,gadm1
LAO18,gadm1
LBN1,gadm1
LBN2,gadm1
LBN3,gadm1
LBN4,gadm1
LBN5,gadm1
LBN6,gadm1
LBN7,gadm1
LBN8,gadm1
LSO1,gadm1
LSO2,gadm1
LSO3,gadm1
LSO4,gadm1
LSO5,gadm1
LSO6,gadm1
LSO7,gadm1
LSO8,gadm1
LSO9,gadm1
LSO10,gadm1
LBR1,gadm1
LBR2,gadm1
LBR3,gadm1
LBR4,gadm1
LBR5,gadm1
LBR6,gadm1
LBR7,gadm1
LBR8,gadm1
LBR9,gadm1
LBR10,gadm1
LBR11,gadm1
